w,x_global,y_global,J,P_finish,F,symmetry_copy
0,659.112138854989,874.458570951772,23.740719287239,0.340364657254141,1.18703596436195,False
0.05,666.605491049443,865.959967236169,23.7462563238262,0.351536814335754,1.1603703346649565,False
0.1,672.49144655595,858.046568131653,23.760764129393,0.360556324464262,1.133178753376259,False
0.2,681.174037047234,843.104218711685,23.8105314627092,0.374799020368551,1.077461454434658,False
0.35,689.817409091041,821.041669073294,23.9334954749422,0.391076595512187,0.9909617945063561,False
0.5,695.71809624671,798.134096475784,24.1214118222845,0.403768223962546,0.9011511835758396,False
0.65,700.992720999255,773.676168271328,24.3925438245714,0.413741982159028,0.8079372285266313,False
0.8,708.109525531132,746.190813636409,24.794496474838,0.421354410187699,0.7108614365982208,False
0.9,715.77463671649,727.228854989794,25.1484280758496,0.424444996271743,0.6437416437346795,False
0.95,721.219281381973,717.122056718042,25.3700152949396,0.425336927192505,0.6093549574044693,False
1,728.369669450947,706.322761102005,25.6388589580167,0.425672070558573,0.574327929441427,False
