w,x_global,y_global,J,P_finish,F,symmetry_copy
0,128.4524439978,-42.7409295759099,25.0757219305311,0.266218101696498,1.253786096526555,False
0.05,705.364700371924,934.849025417275,25.0862262114947,0.287674230363955,1.2272120335278005,False
0.1,155.802487241874,-36.8712058162065,25.1124544198973,0.304023970843083,1.1996580518110702,False
0.2,177.88100381472,-35.4791909811578,25.1970587365262,0.328368714271575,1.142208606606733,False
0.35,206.951589189756,-38.1800659869771,25.3912747321218,0.354199770392212,1.0512465091566843,False
0.5,755.715510818029,858.128177360732,25.6745874172399,0.373363291502594,0.9551830396797005,False
0.65,776.660969480219,836.889530668929,26.0760206143891,0.388135108264536,0.8540425403798608,False
0.8,798.177558864566,812.069280853801,26.6506863445467,0.398916550911668,0.7473736227161325,False
0.9,321.203266628919,-59.2743301673807,27.1956180996089,0.403657784398241,0.6726860845396276,False
0.95,818.360265518855,777.198240145695,27.5561689142611,0.405104713205288,0.6340409447406291,False
1,824.326849353225,760.381103040061,28.0245639117073,0.405679556046796,0.5943204439532039,False
